rate_date,from_currency,to_currency,rate
15/10/2023,EUR,ZAR,20
15/10/2023,USD,EUR,0.92
15/10/2023,USD,IDR,15833.33
15/11/2023,EUR,ZAR,20
15/11/2023,USD,EUR,0.92
15/11/2023,USD,IDR,15833.33
15/12/2023,EUR,ZAR,20
15/12/2023,USD,EUR,0.92
15/12/2023,USD,IDR,15833.33
15/01/2024,EUR,ZAR,20
15/01/2024,USD,EUR,0.92
15/01/2024,USD,IDR,15833.33
15/01/2024,USD,INR,83.33
15/02/2024,EUR,ZAR,20
15/02/2024,USD,EUR,0.92
15/02/2024,USD,IDR,15833.33
15/02/2024,USD,INR,83.33
15/03/2024,EUR,ZAR,20
15/03/2024,USD,EUR,0.92
15/03/2024,USD,IDR,15833.33
15/03/2024,USD,INR,83.33
15/04/2024,EUR,USD,1.09
15/04/2024,EUR,ZAR,20
15/04/2024,USD,EUR,0.92
15/04/2024,USD,IDR,15833.33
15/04/2024,USD,INR,83.33
15/05/2024,EUR,USD,1.09
15/05/2024,EUR,ZAR,20
15/05/2024,USD,EUR,0.92
15/05/2024,USD,IDR,15833.33
15/05/2024,USD,INR,83.33
15/06/2024,EUR,USD,1.09
15/06/2024,USD,EUR,0.92
15/06/2024,USD,INR,83.33
15/07/2024,EUR,USD,1.09
15/07/2024,USD,EUR,0.92
15/07/2024,USD,INR,83.33
15/08/2024,EUR,USD,1.09
15/08/2024,USD,EUR,0.92
15/08/2024,USD,INR,83.33
15/09/2024,EUR,USD,1.09
15/09/2024,USD,EUR,0.92
15/09/2024,USD,IDR,15833.33
15/09/2024,USD,INR,83.33
15/10/2024,EUR,USD,1.09
15/10/2024,USD,EUR,0.92
15/10/2024,USD,IDR,15833.33
15/10/2024,USD,INR,83.33
15/11/2024,EUR,USD,1.09
15/11/2024,USD,EUR,0.92
15/11/2024,USD,IDR,15833.33
15/11/2024,USD,INR,83.33
15/12/2024,EUR,ZAR,20
15/12/2024,USD,EUR,0.92
15/12/2024,USD,IDR,15833.33
15/12/2024,USD,INR,83.33
15/01/2025,EUR,ZAR,20
15/01/2025,USD,EUR,0.92
15/01/2025,USD,IDR,15833.33
15/01/2025,USD,INR,83.33
15/02/2025,EUR,ZAR,20
15/02/2025,USD,EUR,0.92
15/02/2025,USD,IDR,15833.33
15/02/2025,USD,INR,83.33
15/03/2025,EUR,ZAR,20
15/03/2025,USD,IDR,15833.33
15/04/2025,EUR,ZAR,20
15/04/2025,USD,IDR,15833.33
15/05/2025,EUR,ZAR,20
15/05/2025,USD,IDR,15833.33
15/06/2025,EUR,USD,1.09
15/06/2025,EUR,ZAR,20
15/06/2025,USD,IDR,15833.33
15/06/2025,USD,INR,83.33
15/07/2025,EUR,USD,1.09
15/07/2025,EUR,ZAR,20
15/07/2025,USD,IDR,15833.33
15/07/2025,USD,INR,83.33
15/08/2025,EUR,USD,1.09
15/08/2025,EUR,ZAR,20
15/08/2025,USD,EUR,0.92
15/08/2025,USD,IDR,15833.33
15/08/2025,USD,INR,83.33
15/09/2025,EUR,USD,1.09
15/09/2025,EUR,ZAR,20
15/09/2025,USD,EUR,0.92
15/09/2025,USD,IDR,15833.33
15/09/2025,USD,INR,83.33
01/10/2025,USD,INR,83.33
15/10/2025,EUR,USD,1.09
15/10/2025,EUR,ZAR,20
15/10/2025,USD,EUR,0.92
15/10/2025,USD,IDR,15833.33
15/10/2025,USD,INR,83.33
15/11/2025,EUR,USD,1.09
15/11/2025,EUR,ZAR,20
15/11/2025,USD,EUR,0.92
15/11/2025,USD,IDR,15833.33
15/11/2025,USD,INR,83.33
15/12/2025,EUR,USD,1.09
15/12/2025,EUR,ZAR,20
15/12/2025,USD,EUR,0.92
15/12/2025,USD,IDR,15833.33
15/12/2025,USD,INR,83.33
15/01/2026,EUR,USD,1.09
15/01/2026,EUR,ZAR,20
15/01/2026,USD,EUR,0.92
15/01/2026,USD,IDR,15833.33
15/01/2026,USD,INR,83.33
15/02/2026,EUR,USD,1.09
15/02/2026,USD,EUR,0.92
15/02/2026,USD,IDR,15833.33
15/02/2026,USD,INR,83.33
15/03/2026,EUR,USD,1.09
15/03/2026,USD,EUR,0.92
15/03/2026,USD,IDR,15833.33
15/03/2026,USD,INR,83.33
15/04/2026,EUR,USD,1.09
15/04/2026,USD,IDR,15833.33
15/04/2026,USD,INR,83.33
15/05/2026,EUR,USD,1.09
15/05/2026,USD,IDR,15833.33
15/05/2026,USD,INR,83.33
15/06/2026,EUR,USD,1.09
15/06/2026,USD,IDR,15833.33
15/06/2026,USD,INR,83.33
15/07/2026,EUR,USD,1.09
15/07/2026,USD,INR,83.33
15/08/2026,EUR,USD,1.09
15/08/2026,USD,INR,83.33
15/09/2026,EUR,USD,1.09
15/09/2026,USD,INR,83.33
15/10/2026,USD,INR,83.33
15/11/2026,USD,INR,83.33
