request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,pay IDR 1.5656e+07 today. This keeps the IDR 2.47683e+07 minimum available over the next 90 days.
request_27,2817.13,not_affordable,not_recommended,none,,none,Do not proceed with the ZAR 6670 request. No eligible payment keeps the ZAR 20500 minimum protected.
request_28,316.90,affordable_later,wait,2024-06-14:1302.40,2024-06-14,none,Pay EUR 1302.4 in full on 2024-06-14. Paying earlier would put the EUR 1100 minimum at risk.
request_29,0,not_affordable,not_recommended,none,,none,Do not proceed with the ZAR 51524 request. No eligible payment keeps the ZAR 28300 minimum protected.
request_30,775.20,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-07,none,"use 3 installments of USD 268.74, starting 2026-04-06. This leaves at least USD 900 available. Plan: 2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74."
request_31,9718696.86,affordable_later,wait,2024-09-13:18164000,2024-09-13,none,Pay IDR 1.8164e+07 in full on 2024-09-13. Paying earlier would put the IDR 1.65889e+07 minimum at risk.
request_32,0,not_affordable,not_recommended,none,,none,Do not proceed with the ZAR 40018 request. No eligible payment keeps the ZAR 35700 minimum protected.
request_33,48498.81,affordable_later,wait,2026-03-15:118000,2026-03-15,none,Pay INR 118000 in full on 2026-03-15. Paying earlier would put the INR 102100 minimum at risk.
request_34,59479.06,not_affordable,not_recommended,none,,none,Do not proceed with the INR 129400 request. No eligible payment keeps the INR 138500 minimum protected.
request_35,33509.73,affordable_later,wait,2026-01-13:212000,2026-01-13,none,Pay INR 212000 in full on 2026-01-13. Paying earlier would put the INR 106400 minimum at risk.
request_36,578.78,affordable_later,wait,2026-09-13:3954,2026-09-13,none,Pay USD 3954 in full on 2026-09-13. Paying earlier would put the USD 2400 minimum at risk.
request_37,4513944.47,affordable_later,wait,2024-03-16:14649000,2024-03-16,none,Pay IDR 1.4649e+07 in full on 2024-03-16. Paying earlier would put the IDR 1.70562e+07 minimum at risk.
request_38,252.44,affordable_later,wait,2025-10-13:971.30,2025-10-13,none,Pay EUR 971.3 in full on 2025-10-13. Paying earlier would put the EUR 400 minimum at risk.
request_39,133096.51,affordable_later,wait,2026-04-14:208600,2026-04-14,none,Pay INR 208600 in full on 2026-04-14. Paying earlier would put the INR 213400 minimum at risk.
request_40,0,not_affordable,not_recommended,none,,none,Do not proceed with the EUR 1290.3 request. No eligible payment keeps the EUR 1500 minimum protected.
request_41,9155129.80,affordable_later,wait,2025-11-14:38760000,2025-11-14,none,Pay IDR 3.876e+07 in full on 2025-11-14. Paying earlier would put the IDR 2.53666e+07 minimum at risk.
request_42,52100,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,pay INR 52100 today. This keeps the INR 113100 minimum available over the next 90 days.
request_43,11485500,affordable_later,wait,2024-11-13:43339000,2024-11-13,none,Pay IDR 4.3339e+07 in full on 2024-11-13. Paying earlier would put the IDR 2.1398e+07 minimum at risk.
request_44,0,not_affordable,not_recommended,none,,none,Do not proceed with the INR 95800 request. No eligible payment keeps the INR 82900 minimum protected.
request_45,4486288.14,affordable_later,wait,2026-09-13:21983000,2026-09-13,none,Pay IDR 2.1983e+07 in full on 2026-09-13. Paying earlier would put the IDR 1.11498e+07 minimum at risk.
request_46,49449.99,affordable_with_plan,partial_payment,2024-12-03:49449.99|2024-12-04:0.01,2024-12-03,none,Pay INR 49450 today and the remaining INR 0.01 on 2024-12-04. This completes the full request and keeps the INR 84000 minimum protected.
request_47,0,not_affordable,not_recommended,none,,none,Do not proceed with the IDR 3.8114e+07 request. No eligible payment keeps the IDR 3.0049e+07 minimum protected.
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,pay INR 45700 today. This keeps the INR 71300 minimum available over the next 90 days.
request_49,13933390.77,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-03-14,none,"use 3 installments of IDR 1.19021e+07, starting 2024-03-18. This leaves at least IDR 2.02757e+07 available. Plan: 2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67."
request_50,43900,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,pay INR 43900 today. This keeps the INR 99700 minimum available over the next 90 days.
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,pay IDR 2.191e+06 today. This keeps the IDR 7.811e+06 minimum available over the next 90 days.
request_52,23666.53,affordable_later,wait,2024-06-14:28870,2024-06-14,none,Pay INR 28870 in full on 2024-06-14. Paying earlier would put the INR 41500 minimum at risk.
request_53,739.67,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2026-01-13,none,"use 3 installments of USD 589.06, starting 2025-11-21. This leaves at least USD 2100 available. Plan: 2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06."
request_54,5976.34,not_affordable,not_recommended,none,,none,Do not proceed with the ZAR 121528 request. No eligible payment keeps the ZAR 37000 minimum protected.
request_55,137723.70,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-07-14,none,"use 3 installments of INR 75781.3, starting 2026-06-11. This leaves at least INR 124300 available. Plan: 2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33."
request_56,624.29,affordable_with_plan,partial_payment,2025-02-03:624.29|2025-02-14:257.27,2025-02-14,none,Pay USD 624.29 today and the remaining USD 257.27 on 2025-02-14. This completes the full request and keeps the USD 2100 minimum protected.
request_57,15993.85,affordable_later,wait,2026-06-13:61446,2026-06-13,none,Pay ZAR 61446 in full on 2026-06-13. Paying earlier would put the ZAR 42700 minimum at risk.
request_58,16226000,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,pay IDR 1.6226e+07 today. This keeps the IDR 1.44339e+07 minimum available over the next 90 days.
request_59,125388.80,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,,stop:event_5471|reduce_to:event_5537:3930,"Apply spending changes (stop:event_5471|reduce_to:event_5537:3930), then use 3 installments of INR 48741.3, starting 2025-05-07. This leaves at least INR 132600 available. Plan: 2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33."
